Experiment,Time,TR_u_IPTG,TR_u_ATC,READOUT_LACI,READOUT_TETR,STD_LACI,STD_TETR
1,515,1.00E-06,100,829.7824646,440.5598135,8.297824646,4.405598135
1,519.9333333,1.00E-06,100,944.26441,409.9546338,9.4426441,4.099546338
1,524.9333333,1.00E-06,100,1071.425327,379.1041773,10.71425327,3.791041773
1,529.9333333,1.00E-06,100,1184.972789,353.8431599,11.84972789,3.538431599
1,534.95,1.00E-06,100,1295.566828,320.623984,12.95566828,3.20623984
1,539.9333333,1.00E-06,100,1422.774222,297.5947134,14.22774222,2.975947134
1,544.9833333,1.00E-06,100,1543.284224,270.7368178,15.43284224,2.707368178
1,549.9333333,1.00E-06,100,1648.301813,250.4125293,16.48301813,2.504125293
1,554.9333333,1.00E-06,100,1734.853757,232.9670181,17.34853757,2.329670181
1,559.9333333,1.00E-06,100,1879.043779,214.0264332,18.79043779,2.140264332
1,564.9333333,1.00E-06,100,1940.222186,197.8204325,19.40222186,1.978204325
1,569.9333333,1.00E-06,100,2009.90543,180.1011653,20.0990543,1.801011653
1,574.9333333,1.00E-06,100,2106.786596,165.5138047,21.06786596,1.655138047
1,579.9333333,1.00E-06,100,2191.084796,151.5594216,21.91084796,1.515594216
1,584.9333333,1.00E-06,100,2278.663837,140.4773116,22.78663837,1.404773116
1,589.9333333,1.00E-06,100,2364.432106,131.5253893,23.64432106,1.315253893
1,594.9333333,1.00E-06,100,2425.927859,121.0443421,24.25927859,1.210443421
1,599.9333333,1.00E-06,100,2468.23837,107.0019632,24.6823837,1.070019632
1,605.1166667,1.00E-06,100,2526.865511,99.69140074,25.26865511,0.996914007
1,609.9333333,1.00E-06,100,2552.757169,93.95661847,25.52757169,0.939566185
1,615.0333333,1.00E-06,100,2593.150429,87.28063296,25.93150429,0.87280633
1,619.95,1.00E-06,100,2659.351145,78.85061303,26.59351145,0.78850613
1,624.9333333,1.00E-06,100,2652.39989,73.15767347,26.5239989,0.731576735
1,629.95,1.00E-06,100,2747.851681,66.82715437,27.47851681,0.668271544
1,635.0333333,1.00E-06,100,2722.238278,61.2198508,27.22238278,0.612198508
1,640.0166667,1.00E-06,100,2821.732902,57.01726412,28.21732902,0.570172641
1,644.9333333,1.00E-06,100,2823.505561,52.14817514,28.23505561,0.521481751
1,649.9333333,1.00E-06,100,2875.833841,48.91740202,28.75833841,0.48917402
1,654.9333333,1.00E-06,100,2857.162684,43.82054722,28.57162684,0.438205472
1,659.9333333,1.00E-06,100,2808.070609,40.9442603,28.08070609,0.409442603
1,664.9333333,1.00E-06,100,2888.254686,37.6640226,28.88254686,0.376640226
1,669.9166667,1.00E-06,100,2945.892812,34.55236613,29.45892812,0.345523661
1,674.9333333,1.00E-06,100,2957.118937,31.79140647,29.57118937,0.317914065
1,679.9333333,1.00E-06,100,2958.375659,29.48263547,29.58375659,0.294826355
1,684.9333333,1.00E-06,100,2985.852706,26.98024162,29.85852706,0.269802416
1,689.9333333,1.00E-06,100,2963.218769,24.38209487,29.63218769,0.243820949
1,694.9333333,1.00E-06,100,2991.546625,23.21715233,29.91546625,0.232171523
1,699.9333333,1.00E-06,100,3004.963085,21.24780508,30.04963085,0.212478051
1,704.9333333,1.00E-06,100,3032.451024,19.57903683,30.32451024,0.195790368
1,709.9333333,1.00E-06,100,3019.706639,17.79020798,30.19706639,0.17790208
1,714.95,1.00E-06,100,3089.044791,16.5882458,30.89044791,0.165882458
1,719.9333333,1.00E-06,100,3067.420308,15.44914795,30.67420308,0.15449148
1,724.95,1.00E-06,100,3101.006481,13.91300631,31.01006481,0.139130063
1,729.9666667,1.00E-06,100,3042.964178,12.88970074,30.42964178,0.128897007
2,0,0.8,20,14.92214137,2088.370287,0.149221414,20.88370287
2,5.05,0.8,20,23.62029989,2041.573634,0.236202999,20.41573634
2,10.05,0.8,20,31.88736035,2007.531903,0.318873603,20.07531903
2,15.05,0.8,20,39.70489553,1980.240275,0.397048955,19.80240275
